u_neighborhood,u_hr_0,u_hr_1,u_hr_2,u_hr_3,u_hr_4,u_hr_5,u_hr_6,u_hr_7,u_hr_8,u_hr_9,u_hr_10,u_hr_11,u_hr_12,u_hr_13,u_hr_14,u_hr_15,u_hr_16,u_hr_17,u_hr_18,u_hr_19,u_hr_20,u_hr_21,u_hr_22,u_hr_23
Allerton,0,3,4,1,1,1,3,1,1,3,0,2,2,2,4,6,5,5,4,2,1,1,0,1
Alley Pond Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Arden Heights,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arrochar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Arverne,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Astoria,53,24,23,41,40,51,55,57,51,62,56,53,66,68,53,81,72,91,74,68,71,85,112,65
Bath Beach,2,1,0,1,0,1,2,3,5,3,0,3,2,0,5,6,6,1,2,2,5,1,3,1
Battery Park City,54,28,17,51,86,123,167,193,208,195,204,214,201,238,282,414,541,614,603,489,313,220,175,87
Bay Ridge,5,10,7,4,6,12,14,16,14,21,7,16,15,11,9,12,17,24,22,29,17,24,16,10
Bay Terrace,1,1,0,0,1,0,1,1,0,2,1,0,1,3,1,1,1,2,4,4,1,1,0,1
"Bay Terrace, Staten Island",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Baychester,2,0,0,1,0,0,0,0,0,0,0,1,2,1,2,0,1,0,0,0,3,2,0,0
Bayside,5,4,0,3,3,6,4,4,5,3,7,4,1,4,8,4,10,8,9,3,4,5,5,5
Bayswater,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bedford-Stuyvesant,145,100,83,56,103,174,224,250,270,226,197,221,205,205,190,186,182,212,240,233,222,245,245,207
Belle Harbor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bellerose,0,1,0,1,2,0,1,0,2,1,1,0,2,5,2,0,1,1,0,0,1,0,1,1
Belmont,5,2,1,3,3,1,2,2,2,5,9,3,8,8,6,9,10,10,6,7,13,17,5,6
Bensonhurst,1,1,3,0,3,2,6,4,5,5,7,5,7,8,4,8,5,3,0,5,6,8,3,4
Bergen Beach,1,0,2,0,0,1,0,4,3,3,2,2,0,0,0,0,1,3,2,3,2,2,0,3
