l_neighborhood,l_borough,l_boroughId,l_neighborhoodId,l_pickups,l_nta_name,l_nta_id,l_nta_area,l_nta_county_fips
Allerton,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Allerton,53,Bronxdale,BX07,15194897.2638,005
Alley Pond Park,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Alley_Pond_Park,1,park-cemetery-etc-Queens,QN99,311684971.61,081
Arden Heights,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Arden_Heights,1,Arden Heights,SI48,50407530.0454,085
Arlington,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Arlington,0,Mariner's Harbor-Arlington-Port Ivory-Graniteville,SI12,89057577.4918,085
Arrochar,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Arrochar,2,Old Town-Dongan Hills-South Beach,SI36,67010738.0679,085
Arverne,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Arverne,1,Hammels-Arverne-Edgemere,QN12,61904116.8013,081
Astoria,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Astoria,1472,Astoria,QN70,39334264.4843,081
Bath Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bath_Beach,55,Bath Beach,BK27,20538896.9711,047
Battery Park City,Manhattan,1,http://nyc.pediacities.com/Resource/Neighborhood/Battery_Park_City,5717,Battery Park City-Lower Manhattan,MN25,19056256.3105,061
Bay Ridge,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Ridge,338,Bay Ridge,BK31,67120372.6974,047
Bay Terrace,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace,28,Ft. Totten-Bay Terrace-Clearview,QN47,46297599.7752,081
"Bay Terrace, Staten Island",Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Bay_Terrace_Staten_Island,1,Great Kills,SI54,89602052.3389,085
Baychester,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Baychester,15,Eastchester-Edenwald-Baychester,BX03,40256749.6627,005
Bayside,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bayside,114,Bayside-Bayside Hills,QN46,80797536.0623,081
Bayswater,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bayswater,2,park-cemetery-etc-Queens,QN99,311684971.61,081
Bedford-Stuyvesant,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bedford_Stuyvesant,4621,Stuyvesant Heights,BK35,31407005.0688,047
Belle Harbor,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Belle_Harbor,0,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,99449481.6554,081
Bellerose,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Bellerose,23,Bellerose,QN43,55194891.771,081
Belmont,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Belmont,143,Belmont,BX06,13557354.9494,005
Bensonhurst,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bensonhurst,103,Bensonhurst West,BK28,46666292.7867,047
Bergen Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Bergen_Beach,34,Georgetown-Marine Park-Bergen Beach-Mill Basin,BK45,69328952.8314,047
Bloomfield,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Bloomfield,0,New Springville-Bloomfield-Travis,SI05,327762258.869,085
Boerum Hill,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Boerum_Hill,1592,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38,28462565.7562,047
Borough Park,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Borough_Park,241,Borough Park,BK88,54005019.2286,047
Breezy Point,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Breezy_Point,2,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,QN10,99449481.6554,081
Briarwood,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Briarwood,41,Briarwood-Jamaica Hills,QN35,29408863.1561,081
Brighton Beach,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Brighton_Beach,104,West Brighton,BK23,8745781.98734,047
Broad Channel,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Broad_Channel,1,park-cemetery-etc-Queens,QN99,311684971.61,081
Bronx Park,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Bronx_Park,86,park-cemetery-etc-Bronx,BX99,220896061.306,005
Bronxdale,Bronx,2,http://nyc.pediacities.com/Resource/Neighborhood/Bronxdale,26,Pelham Parkway,BX49,23031630.7911,005
Brooklyn Heights,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Brooklyn_Heights,2585,Brooklyn Heights-Cobble Hill,BK09,9984670.16344,047
Brownsville,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Brownsville,210,Brownsville,BK81,32730861.1091,047
Bull's Head,Staten Island,5,http://nyc.pediacities.com/Resource/Neighborhood/Bull_s_Head,8,New Springville-Bloomfield-Travis,SI05,327762258.869,085
Bushwick,Brooklyn,4,http://nyc.pediacities.com/Resource/Neighborhood/Bushwick,2467,Bushwick South,BK78,40192390.2146,047
Cambria Heights,Queens,4,http://nyc.pediacities.com/Resource/Neighborhood/Cambria_Heights,23,Cambria Heights,QN33,33076798.044,081
Canarsie,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Canarsie,195,Canarsie,BK50,82015446.67,047
Carroll Gardens,Brooklyn,3,http://nyc.pediacities.com/Resource/Neighborhood/Carroll_Gardens,1615,Carroll Gardens-Columbia Street-Red Hook,BK33,44600270.3423,047
